date,sciarpa,1 gennaio 2022,rosso
2022-04-18,12.0,1.0,81.0
2022-04-25,12.0,1.0,85.0
2022-05-02,12.0,1.0,85.0
2022-05-09,11.0,1.0,81.0
2022-05-16,9.0,1.0,81.0
2022-05-23,11.0,1.0,77.0
2022-05-30,6.0,1.0,81.0
2022-06-06,6.0,0.0,78.0
2022-06-13,6.0,1.0,80.0
2022-06-20,6.0,0.0,77.0
2022-06-27,6.0,0.0,79.0
2022-07-04,6.0,0.0,79.0
2022-07-11,7.0,0.0,79.0
2022-07-18,8.0,0.0,80.0
2022-07-25,7.0,0.0,77.0
2022-08-01,8.0,0.0,81.0
2022-08-08,8.0,0.0,82.0
2022-08-15,8.0,0.0,81.0
2022-08-22,11.0,0.0,79.0
2022-08-29,13.0,0.0,76.0
2022-09-05,12.0,1.0,76.0
2022-09-12,14.0,0.0,79.0
2022-09-19,20.0,0.0,78.0
2022-09-26,24.0,1.0,77.0
2022-10-03,24.0,1.0,74.0
2022-10-10,28.0,1.0,77.0
2022-10-17,25.0,0.0,77.0
2022-10-24,24.0,0.0,81.0
2022-10-31,32.0,1.0,80.0
2022-11-07,41.0,1.0,77.0
2022-11-14,49.0,1.0,89.0
2022-11-21,63.0,1.0,88.0
2022-11-28,76.0,1.0,86.0
2022-12-05,81.0,1.0,90.0
2022-12-12,100.0,1.0,91.0
2022-12-19,83.0,2.0,95.0
2022-12-26,66.0,9.0,100.0
2023-01-02,47.0,7.0,88.0
2023-01-09,44.0,1.0,82.0
2023-01-16,43.0,1.0,81.0
2023-01-23,42.0,1.0,74.0
